SectionID,CourseID,InstructorID,TermID,SectionNumber
1,156,30,1,S001
2,117,51,1,S002
3,138,5,9,S003
4,124,29,11,S004
5,169,4,8,S005
6,170,10,10,S006
7,111,56,9,S007
8,116,17,7,S008
9,173,74,3,S009
10,159,17,3,S010
11,170,69,2,S011
12,180,34,5,S012
13,103,6,12,S013
14,120,53,12,S014
15,159,66,3,S015
16,136,43,6,S016
17,119,75,2,S017
18,167,23,12,S018
19,119,55,3,S019
20,120,75,5,S020
21,171,16,12,S021
22,152,8,11,S022
23,133,4,11,S023
24,140,4,1,S024
25,139,56,1,S025
26,101,25,10,S026
27,111,67,9,S027
28,157,67,7,S028
29,150,27,1,S029
30,123,32,12,S030
31,131,50,8,S031
32,142,61,3,S032
33,107,51,8,S033
34,116,19,5,S034
35,160,21,1,S035
36,102,5,7,S036
37,101,42,5,S037
38,148,61,6,S038
39,112,22,6,S039
40,169,21,8,S040
41,137,70,9,S041
42,132,1,2,S042
43,109,5,9,S043
44,119,12,12,S044
45,148,46,11,S045
46,180,34,10,S046
47,103,49,9,S047
48,120,45,10,S048
49,124,27,10,S049
50,154,73,7,S050
51,133,26,1,S051
52,124,47,7,S052
53,175,56,10,S053
54,172,63,5,S054
55,136,48,6,S055
56,138,61,10,S056
57,125,26,7,S057
58,118,36,5,S058
59,166,1,7,S059
60,154,8,9,S060
61,135,52,3,S061
62,180,47,8,S062
63,161,56,2,S063
64,141,14,11,S064
65,133,28,7,S065
66,168,2,2,S066
67,133,26,4,S067
68,114,14,7,S068
69,121,59,3,S069
70,148,56,2,S070
71,120,7,11,S071
72,108,3,10,S072
73,107,23,7,S073
74,167,18,1,S074
75,117,38,8,S075
76,133,15,3,S076
77,148,64,12,S077
78,176,28,12,S078
79,159,74,2,S079
80,122,39,3,S080
81,130,57,5,S081
82,138,17,11,S082
83,151,44,8,S083
84,154,25,10,S084
85,108,17,7,S085
86,127,13,7,S086
87,127,25,12,S087
88,121,68,7,S088
89,130,10,8,S089
90,128,67,1,S090
91,164,18,4,S091
92,169,34,6,S092
93,161,8,9,S093
94,148,40,2,S094
95,119,42,1,S095
96,104,41,10,S096
97,135,6,12,S097
98,164,52,2,S098
99,149,26,7,S099
100,117,64,3,S100
101,144,59,10,S101
102,130,56,2,S102
103,146,59,11,S103
104,106,70,7,S104
105,137,33,2,S105
106,124,53,3,S106
107,146,22,11,S107
108,153,21,7,S108
109,160,70,4,S109
110,163,70,1,S110
111,132,4,5,S111
112,133,75,12,S112
113,167,62,9,S113
114,118,62,8,S114
115,125,24,12,S115
116,154,55,9,S116
117,158,9,10,S117
118,167,3,9,S118
119,146,31,7,S119
120,124,40,4,S120
121,132,36,5,S121
122,147,24,1,S122
123,123,6,1,S123
124,166,66,3,S124
125,127,75,8,S125
126,102,4,2,S126
127,117,6,4,S127
128,133,51,2,S128
129,109,62,5,S129
130,143,57,9,S130
131,148,66,1,S131
132,139,75,5,S132
133,142,8,9,S133
134,126,26,1,S134
135,150,51,9,S135
136,125,45,8,S136
137,124,44,4,S137
138,113,5,12,S138
139,160,70,11,S139
140,107,26,10,S140
141,157,68,5,S141
142,136,19,5,S142
143,145,20,11,S143
144,120,12,12,S144
145,165,47,6,S145
146,108,1,7,S146
147,116,14,8,S147
148,114,64,8,S148
149,176,38,11,S149
150,115,37,2,S150
151,166,11,9,S151
152,132,3,7,S152
153,163,33,4,S153
154,151,6,4,S154
155,125,50,11,S155
156,158,10,8,S156
157,163,5,4,S157
158,162,23,6,S158
159,122,10,5,S159
160,158,44,3,S160
161,158,2,10,S161
162,149,13,11,S162
163,152,40,2,S163
164,142,2,9,S164
165,170,65,10,S165
166,115,63,9,S166
167,154,73,1,S167
168,160,17,10,S168
169,108,9,3,S169
170,153,75,8,S170
171,160,15,6,S171
172,105,24,5,S172
173,168,38,5,S173
174,106,35,6,S174
175,147,49,7,S175
176,155,69,1,S176
177,140,62,9,S177
178,152,60,3,S178
179,116,50,4,S179
180,113,75,10,S180
181,130,9,1,S181
182,119,34,11,S182
183,117,35,10,S183
184,163,1,3,S184
185,119,40,2,S185
186,158,64,2,S186
187,155,22,1,S187
188,162,60,8,S188
189,123,64,3,S189
190,109,72,3,S190
191,112,11,6,S191
192,101,14,8,S192
193,158,60,9,S193
194,101,30,9,S194
195,134,35,4,S195
196,148,37,5,S196
197,101,5,2,S197
198,116,26,11,S198
199,161,62,9,S199
200,164,4,8,S200
201,163,42,3,S201
202,169,18,11,S202
203,122,40,12,S203
204,167,72,9,S204
205,176,39,3,S205
206,126,14,9,S206
207,116,32,2,S207
208,151,51,12,S208
209,157,38,10,S209
210,129,23,9,S210
211,178,63,8,S211
212,169,15,9,S212
213,147,25,5,S213
214,162,17,11,S214
215,169,66,11,S215
216,176,53,2,S216
217,116,51,8,S217
218,148,39,12,S218
219,139,51,6,S219
220,133,70,8,S220
221,123,6,11,S221
222,110,67,5,S222
223,169,7,10,S223
224,134,51,2,S224
225,152,72,6,S225
226,110,42,5,S226
227,119,64,12,S227
228,158,15,12,S228
229,101,29,5,S229
230,169,33,1,S230
231,104,27,2,S231
232,116,36,8,S232
233,124,29,3,S233
234,180,38,10,S234
235,102,57,3,S235
236,132,27,8,S236
237,124,55,8,S237
238,112,33,2,S238
239,150,68,8,S239
240,135,66,11,S240
241,133,10,1,S241
242,133,5,6,S242
243,161,74,8,S243
244,151,38,3,S244
245,143,13,8,S245
246,112,31,12,S246
247,167,47,1,S247
248,165,52,11,S248
249,133,56,11,S249
250,140,15,9,S250
251,174,29,11,S251
252,143,8,9,S252
253,144,5,5,S253
254,129,29,10,S254
255,113,47,4,S255
256,112,68,11,S256
257,146,45,6,S257
258,102,2,12,S258
259,135,27,7,S259
260,108,36,5,S260
261,126,36,11,S261
262,174,26,10,S262
263,134,43,9,S263
264,107,27,3,S264
265,168,69,7,S265
266,158,20,10,S266
267,175,11,10,S267
268,129,74,11,S268
269,136,38,5,S269
270,121,6,7,S270
271,136,72,2,S271
272,110,23,4,S272
273,173,47,2,S273
274,124,46,12,S274
275,164,12,7,S275
276,149,13,2,S276
277,136,62,11,S277
278,124,60,1,S278
279,123,43,9,S279
280,162,68,1,S280
281,137,5,8,S281
282,112,37,2,S282
283,155,72,12,S283
284,113,31,8,S284
285,123,9,3,S285
286,130,51,6,S286
287,117,29,3,S287
288,162,40,7,S288
289,113,41,10,S289
290,159,11,9,S290
291,119,23,2,S291
292,149,1,12,S292
293,112,46,12,S293
294,161,21,5,S294
295,119,36,6,S295
296,176,54,4,S296
297,109,57,4,S297
298,171,1,4,S298
299,128,63,2,S299
300,178,54,4,S300
301,152,55,11,S301
302,116,40,1,S302
303,169,15,12,S303
304,112,21,6,S304
305,125,47,1,S305
306,152,73,10,S306
307,153,53,6,S307
308,123,9,1,S308
309,116,74,6,S309
310,157,52,10,S310
311,139,57,8,S311
312,153,26,11,S312
313,142,41,2,S313
314,158,35,2,S314
315,139,63,12,S315
316,114,25,4,S316
317,105,75,11,S317
318,135,38,3,S318
319,175,2,4,S319
320,118,7,12,S320
321,176,34,7,S321
322,109,17,11,S322
323,174,43,1,S323
324,158,59,6,S324
325,117,51,3,S325
326,107,54,11,S326
327,146,24,10,S327
328,113,25,7,S328
329,140,71,10,S329
330,142,52,2,S330
331,109,70,2,S331
332,150,33,4,S332
333,127,49,1,S333
334,166,29,3,S334
335,105,63,9,S335
336,129,22,7,S336
337,137,26,7,S337
338,138,28,11,S338
339,108,49,4,S339
340,165,71,2,S340
341,117,49,4,S341
342,171,20,6,S342
343,145,63,11,S343
344,104,61,11,S344
345,136,49,3,S345
346,170,71,1,S346
347,131,1,12,S347
348,119,13,8,S348
349,161,51,12,S349
350,154,56,5,S350
351,139,62,5,S351
352,174,32,11,S352
353,119,30,4,S353
354,139,29,6,S354
355,167,49,3,S355
356,145,45,9,S356
357,113,30,5,S357
358,158,16,3,S358
359,120,40,11,S359
360,172,19,1,S360
361,161,18,10,S361
362,139,1,12,S362
363,101,47,6,S363
364,103,66,2,S364
365,177,38,3,S365
366,162,51,1,S366
367,163,63,9,S367
368,125,4,8,S368
369,156,1,12,S369
370,133,8,2,S370
371,138,29,12,S371
372,106,55,11,S372
373,158,3,8,S373
374,144,32,12,S374
375,145,10,9,S375
376,132,74,1,S376
377,145,34,5,S377
378,161,55,8,S378
379,147,32,11,S379
380,121,50,2,S380
381,180,7,4,S381
382,175,8,7,S382
383,136,65,3,S383
384,119,57,12,S384
385,120,67,5,S385
386,157,59,8,S386
387,118,72,12,S387
388,147,54,10,S388
389,149,67,3,S389
390,114,51,4,S390
391,115,8,9,S391
392,131,34,7,S392
393,101,35,1,S393
394,154,32,12,S394
395,103,46,4,S395
396,116,16,4,S396
397,157,68,9,S397
398,175,37,6,S398
399,112,54,9,S399
400,174,14,12,S400
401,116,55,6,S401
402,172,48,6,S402
403,176,7,5,S403
404,124,74,5,S404
405,128,7,2,S405
406,108,33,8,S406
407,136,23,8,S407
408,108,19,11,S408
409,158,19,1,S409
410,160,36,8,S410
411,150,29,5,S411
412,128,60,2,S412
413,141,2,2,S413
414,164,1,6,S414
415,127,47,11,S415
416,163,69,9,S416
417,117,20,1,S417
418,173,11,12,S418
419,133,2,6,S419
420,177,67,9,S420
421,129,12,8,S421
422,113,20,11,S422
423,146,5,6,S423
424,135,37,3,S424
425,106,38,8,S425
426,169,9,9,S426
427,147,53,1,S427
428,125,44,12,S428
429,166,24,9,S429
430,110,74,6,S430
431,156,30,6,S431
432,130,59,12,S432
433,105,14,4,S433
434,133,9,1,S434
435,165,40,10,S435
436,118,66,8,S436
437,149,25,2,S437
438,111,73,12,S438
439,126,22,1,S439
440,163,4,2,S440
441,159,26,1,S441
442,127,58,1,S442
443,149,29,9,S443
444,177,37,1,S444
445,133,75,4,S445
446,101,70,10,S446
447,121,18,6,S447
448,155,42,7,S448
449,106,41,2,S449
450,169,38,6,S450
451,105,34,7,S451
452,103,17,10,S452
453,153,37,10,S453
454,123,25,2,S454
455,153,27,2,S455
456,137,57,10,S456
457,174,31,7,S457
458,174,6,12,S458
459,117,40,1,S459
460,178,12,8,S460
461,173,53,11,S461
462,101,71,3,S462
463,151,10,11,S463
464,145,45,6,S464
465,177,17,9,S465
466,104,26,6,S466
467,162,62,9,S467
468,165,46,7,S468
469,132,64,9,S469
470,134,2,2,S470
471,172,54,12,S471
472,139,65,8,S472
473,126,51,8,S473
474,134,53,2,S474
475,154,36,12,S475
476,103,26,4,S476
477,150,29,11,S477
478,112,21,7,S478
479,165,11,11,S479
480,154,40,4,S480
481,105,11,4,S481
482,157,36,6,S482
483,117,59,10,S483
484,147,39,6,S484
485,123,54,10,S485
486,179,55,3,S486
487,114,24,9,S487
488,166,22,12,S488
489,175,69,10,S489
490,151,56,11,S490
491,138,33,2,S491
492,164,36,6,S492
493,138,20,12,S493
494,150,62,7,S494
495,130,73,12,S495
496,179,26,9,S496
497,151,66,3,S497
498,163,73,10,S498
499,152,73,3,S499
500,138,40,7,S500
